first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Earl,Carter,C001103,rep,Republican,GA,2025-01-03,2027-01-03,,UCHQm49T6ikD_ioMAt50AwKQ,RepBuddyCarter,2973870195.0,repbuddycarter,,congressmanbuddycarter,https://www.youtube.com/channel/UCHQm49T6ikD_ioMAt50AwKQ
Mike,Bost,B001295,rep,Republican,IL,2025-01-03,2027-01-03,,UCYA1psY06vSf3QadHuCrmjQ,RepBost,2964877294.0,,,RepBost,https://www.youtube.com/channel/UCYA1psY06vSf3QadHuCrmjQ
Alma,Adams,A000370,rep,Democrat,NC,2025-01-03,2027-01-03,,UCPI9ao1Cr1nxEUD2r-usRjQ,RepAdams,2916086925.0,repadams,,CongresswomanAdams,https://www.youtube.com/channel/UCPI9ao1Cr1nxEUD2r-usRjQ
John,Moolenaar,M001194,rep,Republican,MI,2025-01-03,2027-01-03,,UCnMvVN4a8roZu4crE0UW2DA,RepMoolenaar,2696643955.0,RepMoolenaar,,RepMoolenaar,https://www.youtube.com/channel/UCnMvVN4a8roZu4crE0UW2DA
Elise,Stefanik,S001196,rep,Republican,NY,2025-01-03,2027-01-03,,UCHvf42C8Vw6QnjwO2L2ukKA,RepStefanik,2962813893.0,repstefanik,,RepEliseStefanik,https://www.youtube.com/channel/UCHvf42C8Vw6QnjwO2L2ukKA
David,Rouzer,R000603,rep,Republican,NC,2025-01-03,2027-01-03,,UCBvOxpqoGi1HlHjX9v_gHZw,RepDavidRouzer,834069080.0,repdavidrouzer,,RepRouzer,https://www.youtube.com/channel/UCBvOxpqoGi1HlHjX9v_gHZw
Gary,Palmer,P000609,rep,Republican,AL,2025-01-03,2027-01-03,,UCYZfP-cNIvlJY3AcAc9OPpQ,USRepGaryPalmer,2861616083.0,repgarypalmer,1551536636.0,CongressmanGaryPalmer,https://www.youtube.com/channel/UCYZfP-cNIvlJY3AcAc9OPpQ
Tom,Emmer,E000294,rep,Republican,MN,2025-01-03,2027-01-03,RepTomEmmer,UCScZcPwdddt6fffxbRLFQVw,RepTomEmmer,2914515430.0,reptomemmer,1565640999.0,reptomemmer,https://www.youtube.com/channel/UCScZcPwdddt6fffxbRLFQVw
Bruce,Westerman,W000821,rep,Republican,AR,2025-01-03,2027-01-03,,UCNshPbmupCwP5a7Hi79jETQ,RepWesterman,2852998461.0,,,RepWesterman,https://www.youtube.com/channel/UCNshPbmupCwP5a7Hi79jETQ
J.,Hill,H001072,rep,Republican,AR,2025-01-03,2027-01-03,,UCT8uWroJtkwSsCJlVg0IKvQ,RepFrenchHill,2953974395.0,repfrenchhill,,RepFrenchHill,https://www.youtube.com/channel/UCT8uWroJtkwSsCJlVg0IKvQ
Brian,Babin,B001291,rep,Republican,TX,2025-01-03,2027-01-03,,UCPVEZgw-VbDRbLV1MRGVQNQ,RepBrianBabin,2929491549.0,,,RepBrianBabin,https://www.youtube.com/channel/UCPVEZgw-VbDRbLV1MRGVQNQ
Debbie,Dingell,D000624,rep,Democrat,MI,2025-01-03,2027-01-03,,UCnoP3KLT-HOvzDfC1-I-9lQ,RepDebDingell,2970279814.0,repdingell,,RepDebbieDingell,https://www.youtube.com/channel/UCnoP3KLT-HOvzDfC1-I-9lQ
Norma,Torres,T000474,rep,Democrat,CA,2025-01-03,2027-01-03,,UCvWY4qKP6--o3pIJY7hhKDg,NormaJTorres,236279233.0,repnormatorres,,RepNormaTorres,https://www.youtube.com/channel/UCvWY4qKP6--o3pIJY7hhKDg
Rick,Allen,A000372,rep,Republican,GA,2025-01-03,2027-01-03,,UCZPoYXHFDAV17BGLMzGAmpg,RepRickAllen,2964287128.0,Rep_RickAllen,1666787116.0,CongressmanRickAllen,https://www.youtube.com/channel/UCZPoYXHFDAV17BGLMzGAmpg
Brendan,Boyle,B001296,rep,Democrat,PA,2025-01-03,2027-01-03,,UCMP_Anj7lz4eZuSh8GwFqQQ,CongBoyle,4304448314.0,,,CongressmanBoyle,https://www.youtube.com/channel/UCMP_Anj7lz4eZuSh8GwFqQQ
Pete,Aguilar,A000371,rep,Democrat,CA,2025-01-03,2027-01-03,,UCxwbFLOlKDsXrwizV5jah7g,RepPeteAguilar,3018670151.0,,,reppeteaguilar,https://www.youtube.com/channel/UCxwbFLOlKDsXrwizV5jah7g
Stacey,Plaskett,P000610,rep,Democrat,VI,2025-01-03,2027-01-03,,UC3V7biFZHDFHDFZy6cCSZUA,StaceyPlaskett,2724095695.0,stacey_plaskett,,repstaceyplaskett,https://www.youtube.com/channel/UC3V7biFZHDFHDFZy6cCSZUA
Bonnie,Watson Coleman,W000822,rep,Democrat,NJ,2025-01-03,2027-01-03,,UCrxEaX0VKZKwg3930du2D5A,RepBonnie,2968451607.0,repbonnie,,RepBonnie,https://www.youtube.com/channel/UCrxEaX0VKZKwg3930du2D5A
Ted,Lieu,L000582,rep,Democrat,CA,2025-01-03,2027-01-03,,UC9qcJxTqfDNBnVul1IojlFg,RepTedLieu,3044993235.0,RepTedLieu,,RepTedLieu,https://www.youtube.com/channel/UC9qcJxTqfDNBnVul1IojlFg
Seth,Moulton,M001196,rep,Democrat,MA,2025-01-03,2027-01-03,,UC5w5qn7nj5Ljy69LTV7a_fQ,RepMoulton,3091316093.0,repmoulton,,CongressmanSethMoulton,https://www.youtube.com/channel/UC5w5qn7nj5Ljy69LTV7a_fQ
Donald,Beyer,B001292,rep,Democrat,VA,2025-01-03,2027-01-03,,UCPJGVbOVcAVGiBwq8qr_T9w,RepDonBeyer,2962868158.0,repdonbeyer,,RepDonBeyer,https://www.youtube.com/channel/UCPJGVbOVcAVGiBwq8qr_T9w
Glenn,Grothman,G000576,rep,Republican,WI,2025-01-03,2027-01-03,,UCui4k83Cot4aeVW_8T33fgg,RepGrothman,2976606250.0,repglenngrothman,,RepGrothman,https://www.youtube.com/channel/UCui4k83Cot4aeVW_8T33fgg
Donald,Norcross,N000188,rep,Democrat,NJ,2025-01-03,2027-01-03,,UC7kXK_PyDiOT8YrdP0jYZHw,DonaldNorcross,3122099613.0,donald_norcross,,DonaldNorcrossNJ,https://www.youtube.com/channel/UC7kXK_PyDiOT8YrdP0jYZHw
Trent,Kelly,K000388,rep,Republican,MS,2025-01-03,2027-01-03,,UCtDrz-8tdg4ZgOAQHToSWaQ,RepTrentKelly,3317799825.0,reptrentkelly,,reptrentkelly,https://www.youtube.com/channel/UCtDrz-8tdg4ZgOAQHToSWaQ
Darin,LaHood,L000585,rep,Republican,IL,2025-01-03,2027-01-03,,UCVRbtFwaBGcixZIkygtalRw,RepLaHood,3686482216.0,,,replahood,https://www.youtube.com/channel/UCVRbtFwaBGcixZIkygtalRw
Jamie,Raskin,R000606,rep,Democrat,MD,2025-01-03,2027-01-03,,UChxDE6vho5BfBTOqiBsDmKg,RepRaskin,8.07e+17,repraskin,,repraskin,https://www.youtube.com/channel/UChxDE6vho5BfBTOqiBsDmKg
Jimmy,Panetta,P000613,rep,Democrat,CA,2025-01-03,2027-01-03,,UCmw-aERG51C96edMDPN7fXQ,RepJimmyPanetta,7.97e+17,repjimmypanetta,,RepJimmyPanetta,https://www.youtube.com/channel/UCmw-aERG51C96edMDPN7fXQ
Neal,Dunn,D000628,rep,Republican,FL,2025-01-03,2027-01-03,,UCRTGfrYP-RuDzJ2KGok7TRA,DrNealDunnFL2,8.16e+17,,,drnealdunnfl2,https://www.youtube.com/channel/UCRTGfrYP-RuDzJ2KGok7TRA
Andy,Biggs,B001302,rep,Republican,AZ,2025-01-03,2027-01-03,,UCqSq9kWOxk9yNTeILBCVC1w,RepAndyBiggsAZ,8.17e+17,repandybiggs,,RepAndyBiggs,https://www.youtube.com/channel/UCqSq9kWOxk9yNTeILBCVC1w
Brian,Mast,M001199,rep,Republican,FL,2025-01-03,2027-01-03,repbrianmast,UCSBgIt02ZoFyfBOgISq77Cw,RepBrianMast,8.14e+17,RepBrianMast,,repbrianmast,https://www.youtube.com/channel/UCSBgIt02ZoFyfBOgISq77Cw
Warren,Davidson,D000626,rep,Republican,OH,2025-01-03,2027-01-03,,UCMzuyZWzk44YRNesFzPTeUw,WarrenDavidson,7.43e+17,instawarrendavidson,,CongressmanWarrenDavidson,https://www.youtube.com/channel/UCMzuyZWzk44YRNesFzPTeUw
Vicente,Gonzalez,G000581,rep,Democrat,TX,2025-01-03,2027-01-03,,UC5H6oYLKQ_xIXO5CG7fh4hw,RepGonzalez,8.19e+17,repvicentegonzaleztx,,USCongressmanVicenteGonzalez,https://www.youtube.com/channel/UC5H6oYLKQ_xIXO5CG7fh4hw
